math_score,science_score,programming_skill,communication_skill,creativity,interest_area,experience_years,career
82,70,High,High,Low,Technology,5,DevOps Engineer (Junior)
90,81,Medium,High,Low,Technology,0,Data Analyst
73,80,High,High,Low,Technology,2,ML Engineer (Junior)
84,73,Medium,Medium,Low,Technology,4,Data Analyst
95,72,High,Medium,Low,Technology,1,ML Engineer (Junior)
76,77,Medium,Medium,High,Technology,1,Frontend Developer
85,81,High,Medium,Low,Technology,1,Software Engineer
70,93,Medium,Medium,Medium,Technology,1,Web Developer
73,82,High,High,Low,Technology,0,Software Engineer
93,74,High,High,Low,Technology,3,Backend Developer
73,83,High,High,Low,Technology,0,Backend Developer
77,80,High,High,Low,Technology,2,Backend Developer
88,74,High,Medium,Low,Technology,2,ML Engineer (Junior)
87,92,High,High,Low,Technology,0,Backend Developer
92,88,Low,Medium,High,Technology,2,UI/UX Designer
77,83,Low,Medium,High,Technology,1,UI/UX Designer
91,78,High,High,Low,Technology,0,Backend Developer
81,72,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
93,71,Medium,High,High,Technology,0,Frontend Developer
76,87,High,High,Low,Technology,3,Cloud Engineer (Junior)
95,73,High,Medium,Low,Technology,0,ML Engineer (Junior)
92,87,Medium,High,High,Technology,0,Frontend Developer
94,89,High,High,Low,Technology,1,Software Engineer
80,77,Medium,Medium,Low,Technology,4,QA Engineer
87,82,Medium,High,Low,Technology,0,Data Analyst
70,91,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
76,90,High,Medium,Low,Technology,2,ML Engineer (Junior)
80,74,High,Medium,Low,Technology,1,ML Engineer (Junior)
88,79,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
91,82,High,High,Low,Technology,1,Cyber Security Analyst
71,79,High,High,Low,Technology,0,Software Engineer
75,83,Low,High,High,Technology,2,UI/UX Designer
84,92,High,Medium,Low,Technology,2,Backend Developer
70,80,Low,High,High,Technology,0,UI/UX Designer
76,79,High,Medium,Low,Technology,1,ML Engineer (Junior)
70,83,Medium,Medium,Low,Technology,3,Junior Software Engineer
89,80,High,High,Low,Technology,0,Data Scientist (Junior)
93,79,Medium,High,Low,Technology,4,Junior Software Engineer
82,80,Low,High,High,Technology,1,UI/UX Designer
71,83,Medium,High,Low,Technology,0,QA Engineer
95,93,Medium,Medium,Low,Technology,2,Data Analyst
83,76,Medium,Medium,Low,Technology,0,QA Engineer
70,73,High,High,Low,Technology,0,ML Engineer (Junior)
75,87,Medium,High,Medium,Technology,2,Web Developer
74,87,High,High,Low,Technology,4,ML Engineer (Junior)
72,88,High,High,Low,Technology,2,ML Engineer (Junior)
70,86,High,High,Low,Technology,3,Cyber Security Analyst
71,80,Medium,Medium,High,Technology,1,Frontend Developer
78,82,High,Medium,Low,Technology,2,Cyber Security Analyst
70,79,High,High,Low,Technology,0,DevOps Engineer (Junior)
86,73,High,High,Low,Technology,1,Cloud Engineer (Junior)
84,72,High,High,Low,Technology,0,Cyber Security Analyst
87,88,High,High,Low,Technology,2,DevOps Engineer (Junior)
83,78,High,High,Low,Technology,1,Cyber Security Analyst
74,75,High,Medium,Low,Technology,1,Software Engineer
79,72,Medium,Medium,Low,Technology,1,Junior Software Engineer
72,92,Medium,Medium,Medium,Technology,0,Web Developer
84,72,High,Medium,Low,Technology,3,ML Engineer (Junior)
84,89,High,Medium,Low,Technology,1,Cyber Security Analyst
95,95,High,High,Low,Technology,2,Software Engineer
90,74,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
72,91,Low,Medium,High,Technology,1,UI/UX Designer
88,83,Medium,Medium,Medium,Technology,2,Web Developer
77,90,Medium,High,Medium,Technology,1,Web Developer
90,85,High,High,Low,Technology,2,Cyber Security Analyst
80,79,Medium,Medium,Low,Technology,3,Data Analyst
82,88,Medium,Medium,Medium,Technology,1,Web Developer
84,83,Medium,Medium,Medium,Technology,0,Web Developer
90,85,Low,Medium,High,Technology,1,UI/UX Designer
77,83,Medium,High,Low,Technology,0,Data Analyst
77,74,Low,High,High,Technology,0,UI/UX Designer
87,74,Medium,High,Low,Technology,2,Junior Software Engineer
91,84,Medium,High,Low,Technology,0,Junior Software Engineer
79,77,Medium,High,High,Technology,0,Frontend Developer
80,93,High,Medium,Low,Technology,0,ML Engineer (Junior)
79,70,High,High,Low,Technology,0,ML Engineer (Junior)
76,76,High,Medium,Low,Technology,1,Data Scientist (Junior)
91,84,High,High,Low,Technology,1,Cloud Engineer (Junior)
81,80,High,Medium,Low,Technology,0,Cyber Security Analyst
94,80,High,High,Low,Technology,1,Software Engineer
85,95,Medium,Medium,High,Technology,1,Frontend Developer
84,80,Medium,High,Low,Technology,0,QA Engineer
71,71,Low,Medium,High,Technology,0,UI/UX Designer
80,71,High,High,Low,Technology,0,ML Engineer (Junior)
78,86,High,High,Low,Technology,1,Software Engineer
93,72,High,Medium,Low,Technology,0,ML Engineer (Junior)
93,70,High,High,Low,Technology,2,ML Engineer (Junior)
85,73,High,Medium,Low,Technology,1,ML Engineer (Junior)
78,91,Medium,High,Low,Technology,1,Data Analyst
87,79,Medium,High,Medium,Technology,3,Web Developer
70,72,Medium,Medium,Low,Technology,0,Data Analyst
75,85,Medium,Medium,Low,Technology,1,Junior Software Engineer
93,90,High,Medium,Low,Technology,4,Cloud Engineer (Junior)
80,74,Low,Medium,High,Technology,1,UI/UX Designer
74,74,High,Medium,Low,Technology,1,Backend Developer
92,92,High,High,Low,Technology,0,Software Engineer
74,72,Medium,Medium,Low,Technology,1,Junior Software Engineer
79,81,Medium,High,Low,Technology,1,Junior Software Engineer
93,94,Medium,High,Low,Technology,0,QA Engineer
78,78,High,High,Low,Technology,0,Backend Developer
72,92,Medium,Medium,High,Technology,0,Frontend Developer
84,93,Low,Medium,High,Technology,0,UI/UX Designer
83,73,High,High,Low,Technology,1,Cloud Engineer (Junior)
88,75,Medium,High,Low,Technology,1,Junior Software Engineer
92,84,High,Medium,Low,Technology,0,Cyber Security Analyst
73,80,Medium,Medium,Low,Technology,1,Junior Software Engineer
93,85,High,High,Low,Technology,0,ML Engineer (Junior)
74,91,High,High,Low,Technology,1,DevOps Engineer (Junior)
76,80,Medium,High,Low,Technology,0,QA Engineer
84,74,High,High,Low,Technology,1,ML Engineer (Junior)
94,91,Low,High,High,Technology,5,UI/UX Designer
79,92,High,High,Low,Technology,3,Cyber Security Analyst
93,75,High,Medium,Low,Technology,0,Cyber Security Analyst
76,73,High,High,Low,Technology,3,Cyber Security Analyst
74,70,Medium,Medium,Low,Technology,1,QA Engineer
70,74,High,High,Low,Technology,1,Data Scientist (Junior)
80,83,High,Medium,Low,Technology,2,ML Engineer (Junior)
88,81,High,Medium,Low,Technology,2,ML Engineer (Junior)
85,93,Medium,Medium,Low,Technology,2,Junior Software Engineer
89,73,High,High,Low,Technology,2,Cloud Engineer (Junior)
84,89,Medium,Medium,Low,Technology,2,Data Analyst
78,70,High,Medium,Low,Technology,1,DevOps Engineer (Junior)
85,92,Medium,High,Low,Technology,3,Junior Software Engineer
82,82,Medium,Medium,High,Technology,1,Frontend Developer
91,92,High,Medium,Low,Technology,1,DevOps Engineer (Junior)
92,85,High,Medium,Low,Technology,1,Cyber Security Analyst
70,74,Medium,Medium,Medium,Technology,2,Web Developer
76,91,Medium,Medium,Medium,Technology,0,Web Developer
71,95,Medium,High,Low,Technology,0,Data Analyst
78,82,Medium,Medium,Low,Technology,1,Junior Software Engineer
76,71,Medium,Medium,Medium,Technology,0,Web Developer
88,86,Medium,Medium,Low,Technology,4,QA Engineer
88,85,High,Medium,Low,Technology,2,DevOps Engineer (Junior)
80,72,Medium,High,High,Technology,0,Frontend Developer
78,70,Medium,Medium,Medium,Technology,2,Web Developer
85,90,High,Medium,Low,Technology,2,ML Engineer (Junior)
81,89,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
94,94,Medium,Medium,Low,Technology,1,QA Engineer
84,86,Medium,Medium,High,Technology,1,Frontend Developer
83,76,Medium,High,Low,Technology,2,Junior Software Engineer
89,84,High,Medium,Low,Technology,0,Cyber Security Analyst
79,91,High,Medium,Low,Technology,3,DevOps Engineer (Junior)
76,85,High,Medium,Low,Technology,1,Backend Developer
85,90,High,Medium,Low,Technology,0,Backend Developer
92,79,High,Medium,Low,Technology,1,Cyber Security Analyst
81,84,High,Medium,Low,Technology,2,DevOps Engineer (Junior)
87,82,High,High,Low,Technology,4,ML Engineer (Junior)
81,76,Medium,Medium,Low,Technology,2,QA Engineer
78,95,Low,Medium,High,Technology,2,UI/UX Designer
92,91,High,High,Low,Technology,1,ML Engineer (Junior)
92,93,Medium,High,Low,Technology,3,Junior Software Engineer
73,80,High,High,Low,Technology,1,DevOps Engineer (Junior)
95,72,High,Medium,Low,Technology,1,Cyber Security Analyst
81,80,High,High,Low,Technology,2,Cyber Security Analyst
73,89,Low,Medium,High,Technology,4,UI/UX Designer
89,92,Medium,High,Low,Technology,1,Data Analyst
90,71,High,High,Low,Technology,1,Cyber Security Analyst
87,73,Medium,High,Low,Technology,0,Junior Software Engineer
78,76,Medium,High,Low,Technology,0,Junior Software Engineer
76,73,High,Medium,Low,Technology,2,Software Engineer
71,70,High,High,Low,Technology,0,Cyber Security Analyst
76,70,High,High,Low,Technology,2,Cyber Security Analyst
88,84,Medium,Medium,High,Technology,0,Frontend Developer
84,89,Medium,Medium,High,Technology,1,Frontend Developer
84,88,High,High,Low,Technology,0,Software Engineer
91,72,Medium,High,Medium,Technology,0,Web Developer
94,71,High,Medium,Low,Technology,3,Backend Developer
77,94,High,High,Low,Technology,0,Cyber Security Analyst
94,71,High,Medium,Low,Technology,0,Software Engineer
77,93,High,High,Low,Technology,0,DevOps Engineer (Junior)
76,75,Low,High,High,Technology,3,UI/UX Designer
84,84,Medium,High,Low,Technology,1,Junior Software Engineer
89,90,High,Medium,Low,Technology,1,ML Engineer (Junior)
70,87,High,Medium,Low,Technology,1,Software Engineer
76,84,High,Medium,Low,Technology,0,ML Engineer (Junior)
90,78,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
89,95,Medium,Medium,Medium,Technology,0,Web Developer
86,88,High,Medium,Low,Technology,1,Cyber Security Analyst
70,71,High,High,Low,Technology,0,DevOps Engineer (Junior)
93,89,High,High,Low,Technology,3,Backend Developer
90,75,Medium,High,Low,Technology,3,QA Engineer
82,82,High,High,Low,Technology,4,ML Engineer (Junior)
86,79,High,High,Low,Technology,1,Backend Developer
83,78,High,Medium,Low,Technology,1,ML Engineer (Junior)
88,89,High,Medium,Low,Technology,2,Cloud Engineer (Junior)
76,90,Medium,Medium,Low,Technology,1,QA Engineer
95,87,High,Medium,Low,Technology,3,Software Engineer
90,90,High,Medium,Low,Technology,2,Cyber Security Analyst
70,79,High,Medium,Low,Technology,0,Software Engineer
95,94,High,Medium,Low,Technology,1,ML Engineer (Junior)
92,92,High,Medium,Low,Technology,0,Software Engineer
73,75,High,Medium,Low,Technology,0,ML Engineer (Junior)
81,89,Medium,High,Low,Technology,1,QA Engineer
83,73,Low,Medium,High,Technology,3,UI/UX Designer
75,84,High,High,Low,Technology,3,Data Scientist (Junior)
89,90,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
83,83,Medium,Medium,Low,Technology,1,Data Analyst
92,92,High,High,Low,Technology,4,Cloud Engineer (Junior)
90,72,High,High,Low,Technology,0,Cloud Engineer (Junior)
85,83,Medium,High,Medium,Technology,1,Web Developer
94,86,Medium,High,High,Technology,0,Frontend Developer
94,84,Medium,High,High,Technology,0,Frontend Developer
93,86,High,High,Low,Technology,0,Cyber Security Analyst
75,80,High,Medium,Low,Technology,1,Data Scientist (Junior)
80,91,Medium,Medium,High,Technology,0,Frontend Developer
93,83,High,High,Low,Technology,0,Cyber Security Analyst
92,72,High,Medium,Low,Technology,2,ML Engineer (Junior)
81,84,High,High,Low,Technology,0,Software Engineer
95,87,Low,High,High,Technology,0,UI/UX Designer
95,76,High,Medium,Low,Technology,3,Cloud Engineer (Junior)
90,80,High,High,Low,Technology,0,DevOps Engineer (Junior)
74,90,Medium,High,Low,Technology,1,Junior Software Engineer
88,81,Medium,High,Low,Technology,2,Data Analyst
77,76,Low,Medium,High,Technology,1,UI/UX Designer
88,89,Medium,Medium,Medium,Technology,0,Web Developer
83,79,Low,Medium,High,Technology,3,UI/UX Designer
80,82,High,Medium,Low,Technology,1,Software Engineer
75,79,High,High,Low,Technology,0,DevOps Engineer (Junior)
74,84,High,High,Low,Technology,2,Software Engineer
75,73,High,High,Low,Technology,1,Cyber Security Analyst
78,84,Medium,Medium,Low,Technology,0,Data Analyst
71,77,Medium,High,Low,Technology,0,Data Analyst
93,90,High,Medium,Low,Technology,0,ML Engineer (Junior)
85,85,Medium,Medium,Low,Technology,0,QA Engineer
82,80,High,High,Low,Technology,0,Backend Developer
95,79,Medium,High,Medium,Technology,1,Web Developer
87,86,Medium,High,Low,Technology,3,QA Engineer
77,71,Medium,Medium,Low,Technology,0,Junior Software Engineer
71,86,High,High,Low,Technology,1,Software Engineer
76,89,High,Medium,Low,Technology,3,ML Engineer (Junior)
88,88,High,Medium,Low,Technology,0,ML Engineer (Junior)
91,89,Low,Medium,High,Technology,0,UI/UX Designer
70,78,Medium,High,Low,Technology,2,QA Engineer
92,87,Low,Medium,High,Technology,0,UI/UX Designer
83,72,Medium,Medium,High,Technology,0,Frontend Developer
88,73,High,High,Low,Technology,2,DevOps Engineer (Junior)
78,92,Low,Medium,High,Technology,1,UI/UX Designer
82,73,High,High,Low,Technology,1,DevOps Engineer (Junior)
83,76,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
84,91,High,High,Low,Technology,0,Software Engineer
81,94,Medium,Medium,Low,Technology,0,Data Analyst
73,77,High,Medium,Low,Technology,2,Software Engineer
77,79,Medium,Medium,Medium,Technology,0,Web Developer
78,92,Medium,Medium,Low,Technology,0,QA Engineer
75,87,Medium,Medium,Low,Technology,3,Junior Software Engineer
79,80,High,Medium,Low,Technology,2,ML Engineer (Junior)
87,83,High,Medium,Low,Technology,2,Data Scientist (Junior)
74,89,High,Medium,Low,Technology,1,ML Engineer (Junior)
94,74,Medium,High,Low,Technology,2,QA Engineer
71,81,High,High,Low,Technology,1,Backend Developer
77,89,High,High,Low,Technology,0,Cyber Security Analyst
71,77,High,Medium,Low,Technology,0,Software Engineer
94,85,Medium,High,Low,Technology,2,QA Engineer
74,92,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
75,86,Medium,Medium,High,Technology,1,Frontend Developer
79,83,Medium,Medium,Low,Technology,3,Data Analyst
78,89,High,High,Low,Technology,0,Software Engineer
76,80,Medium,High,High,Technology,3,Frontend Developer
75,73,High,High,Low,Technology,1,Data Scientist (Junior)
94,83,Medium,Medium,High,Technology,1,Frontend Developer
78,77,High,Medium,Low,Technology,2,Data Scientist (Junior)
80,73,Medium,Medium,High,Technology,0,Frontend Developer
79,77,High,High,Low,Technology,2,DevOps Engineer (Junior)
79,95,High,High,Low,Technology,0,Cyber Security Analyst
90,82,Medium,Medium,Low,Technology,1,Junior Software Engineer
95,90,Low,High,High,Technology,3,UI/UX Designer
77,86,High,Medium,Low,Technology,1,Backend Developer
87,91,High,Medium,Low,Technology,0,ML Engineer (Junior)
79,80,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
79,73,High,Medium,Low,Technology,1,Software Engineer
79,92,Low,High,High,Technology,2,UI/UX Designer
75,95,High,Medium,Low,Technology,0,Backend Developer
83,88,High,Medium,Low,Technology,0,Data Scientist (Junior)
81,94,Low,High,High,Technology,0,UI/UX Designer
95,87,Medium,High,Low,Technology,1,Junior Software Engineer
94,86,High,Medium,Low,Technology,0,Backend Developer
91,73,Low,Medium,High,Technology,0,UI/UX Designer
83,81,Medium,Medium,Low,Technology,3,Data Analyst
90,85,High,Medium,Low,Technology,0,Cyber Security Analyst
90,84,Medium,Medium,Low,Technology,0,Data Analyst
74,82,High,Medium,Low,Technology,2,ML Engineer (Junior)
85,87,High,High,Low,Technology,3,ML Engineer (Junior)
89,89,Medium,High,Low,Technology,1,Data Analyst
77,89,Medium,High,High,Technology,0,Frontend Developer
93,74,High,High,Low,Technology,0,DevOps Engineer (Junior)
95,91,High,High,Low,Technology,2,Cyber Security Analyst
74,89,High,High,Low,Technology,1,DevOps Engineer (Junior)
93,80,Medium,Medium,Low,Technology,0,Junior Software Engineer
85,92,High,Medium,Low,Technology,0,Backend Developer
84,79,Medium,Medium,High,Technology,3,Frontend Developer
88,74,High,Medium,Low,Technology,2,Data Scientist (Junior)
90,89,Low,High,High,Technology,4,UI/UX Designer
88,78,High,Medium,Low,Technology,2,Backend Developer
81,82,High,High,Low,Technology,0,Cloud Engineer (Junior)
76,83,Medium,High,High,Technology,1,Frontend Developer
88,80,Medium,Medium,Medium,Technology,1,Web Developer
77,75,High,Medium,Low,Technology,0,Software Engineer
71,86,High,High,Low,Technology,0,Data Scientist (Junior)
85,70,High,High,Low,Technology,0,ML Engineer (Junior)
89,89,High,High,Low,Technology,0,Data Scientist (Junior)
92,75,Low,Medium,High,Technology,3,UI/UX Designer
71,78,Medium,Medium,Low,Technology,0,QA Engineer
74,71,High,Medium,Low,Technology,2,Software Engineer
87,89,Low,Medium,High,Technology,0,UI/UX Designer
73,75,High,High,Low,Technology,1,ML Engineer (Junior)
72,74,High,High,Low,Technology,0,Cloud Engineer (Junior)
79,81,Medium,Medium,Low,Technology,1,Data Analyst
72,74,Medium,Medium,Medium,Technology,0,Web Developer
77,71,Medium,Medium,High,Technology,0,Frontend Developer
77,82,High,High,Low,Technology,1,ML Engineer (Junior)
92,86,Medium,Medium,Medium,Technology,0,Web Developer
83,87,Medium,High,Low,Technology,1,Data Analyst
75,85,High,High,Low,Technology,1,Data Scientist (Junior)
76,92,High,High,Low,Technology,0,Data Scientist (Junior)
80,81,Medium,Medium,Medium,Technology,0,Web Developer
76,76,High,High,Low,Technology,2,Backend Developer
91,72,Medium,Medium,Low,Technology,0,Data Analyst
81,72,Medium,High,Medium,Technology,1,Web Developer
93,89,Medium,High,Low,Technology,0,QA Engineer
72,91,Medium,High,Low,Technology,1,QA Engineer
87,89,High,Medium,Low,Technology,1,Cyber Security Analyst
84,77,High,Medium,Low,Technology,2,ML Engineer (Junior)
90,92,Medium,High,High,Technology,2,Frontend Developer
80,88,High,Medium,Low,Technology,0,Backend Developer
91,77,High,Medium,Low,Technology,3,Data Scientist (Junior)
70,91,High,High,Low,Technology,1,DevOps Engineer (Junior)
85,90,Medium,High,Low,Technology,0,Junior Software Engineer
84,76,Medium,Medium,Low,Technology,3,Data Analyst
93,85,High,High,Low,Technology,0,Data Scientist (Junior)
74,78,High,Medium,Low,Technology,0,Backend Developer
73,89,Medium,High,Low,Technology,1,Junior Software Engineer
76,79,High,Medium,Low,Technology,3,Cyber Security Analyst
86,74,High,Medium,Low,Technology,0,Backend Developer
75,86,High,Medium,Low,Technology,0,Backend Developer
87,86,High,High,Low,Technology,3,ML Engineer (Junior)
93,86,Medium,Medium,Low,Technology,0,QA Engineer
87,95,Medium,Medium,Low,Technology,2,QA Engineer
95,88,Low,Medium,High,Technology,3,UI/UX Designer
72,78,High,Medium,Low,Technology,1,Data Scientist (Junior)
73,78,High,Medium,Low,Technology,1,Backend Developer
94,70,Medium,Medium,Medium,Technology,1,Web Developer
78,75,High,Medium,Low,Technology,0,Data Scientist (Junior)
76,82,Medium,High,Medium,Technology,4,Web Developer
84,79,High,High,Low,Technology,0,Data Scientist (Junior)
77,73,High,Medium,Low,Technology,5,Software Engineer
77,87,Medium,Medium,High,Technology,1,Frontend Developer
85,82,Medium,High,High,Technology,0,Frontend Developer
91,93,High,Medium,Low,Technology,2,Cyber Security Analyst
80,83,Medium,Medium,Low,Technology,3,QA Engineer
74,79,High,High,Low,Technology,0,Software Engineer
78,75,Medium,Medium,Low,Technology,3,Data Analyst
95,80,High,High,Low,Technology,0,DevOps Engineer (Junior)
78,75,High,Medium,Low,Technology,3,Cyber Security Analyst
71,78,Medium,Medium,Low,Technology,1,QA Engineer
73,73,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
94,88,High,High,Low,Technology,2,DevOps Engineer (Junior)
77,82,High,Medium,Low,Technology,1,Software Engineer
79,92,Medium,High,Low,Technology,0,Junior Software Engineer
84,86,Low,Medium,High,Technology,0,UI/UX Designer
71,90,High,Medium,Low,Technology,5,Cloud Engineer (Junior)
79,71,Medium,Medium,Medium,Technology,2,Web Developer
94,84,High,Medium,Low,Technology,0,Data Scientist (Junior)
71,91,High,Medium,Low,Technology,1,Data Scientist (Junior)
72,76,Low,Medium,High,Technology,5,UI/UX Designer
85,79,High,High,Low,Technology,1,Data Scientist (Junior)
75,95,Medium,High,Medium,Technology,0,Web Developer
88,86,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
93,84,Medium,High,Low,Technology,1,Data Analyst
78,94,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
94,92,High,High,Low,Technology,0,Backend Developer
79,78,High,Medium,Low,Technology,3,Data Scientist (Junior)
75,91,High,Medium,Low,Technology,0,Software Engineer
84,82,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
87,90,Medium,High,Low,Technology,0,QA Engineer
90,83,High,Medium,Low,Technology,2,Software Engineer
85,92,Medium,High,Medium,Technology,2,Web Developer
93,85,Medium,Medium,Low,Technology,4,Junior Software Engineer
71,89,Low,Medium,High,Technology,0,UI/UX Designer
75,88,Medium,High,Low,Technology,1,Data Analyst
94,78,Medium,High,Low,Technology,2,QA Engineer
92,88,High,High,Low,Technology,0,Data Scientist (Junior)
94,71,High,Medium,Low,Technology,3,Cyber Security Analyst
80,72,Medium,Medium,Low,Technology,1,Junior Software Engineer
86,77,Low,Medium,High,Technology,0,UI/UX Designer
94,92,High,High,Low,Technology,3,Backend Developer
79,78,High,Medium,Low,Technology,0,Cyber Security Analyst
77,82,Medium,Medium,High,Technology,2,Frontend Developer
84,73,Medium,Medium,Low,Technology,1,Junior Software Engineer
88,83,High,High,Low,Technology,1,Software Engineer
76,78,Medium,Medium,High,Technology,1,Frontend Developer
91,93,Medium,Medium,Low,Technology,1,Junior Software Engineer
71,83,High,High,Low,Technology,5,Data Scientist (Junior)
86,76,Medium,Medium,Low,Technology,1,QA Engineer
90,91,Medium,Medium,Low,Technology,0,Data Analyst
76,88,Medium,Medium,Low,Technology,1,Junior Software Engineer
89,85,Medium,Medium,Low,Technology,3,Junior Software Engineer
92,95,Low,Medium,High,Technology,4,UI/UX Designer
72,86,High,Medium,Low,Technology,3,Software Engineer
79,72,Low,Medium,High,Technology,0,UI/UX Designer
83,71,Low,Medium,High,Technology,1,UI/UX Designer
77,83,High,High,Low,Technology,2,Backend Developer
85,74,High,High,Low,Technology,0,DevOps Engineer (Junior)
77,76,High,Medium,Low,Technology,1,Data Scientist (Junior)
82,92,High,High,Low,Technology,2,Cloud Engineer (Junior)
81,82,Low,Medium,High,Technology,3,UI/UX Designer
77,91,High,Medium,Low,Technology,1,Backend Developer
93,83,High,Medium,Low,Technology,3,Software Engineer
74,84,Low,High,High,Technology,1,UI/UX Designer
93,75,High,Medium,Low,Technology,3,Cyber Security Analyst
85,83,Medium,High,High,Technology,2,Frontend Developer
92,72,Medium,Medium,Low,Technology,2,QA Engineer
94,79,Medium,Medium,Low,Technology,0,Data Analyst
77,71,Medium,High,High,Technology,0,Frontend Developer
87,81,High,High,Low,Technology,1,DevOps Engineer (Junior)
80,87,Medium,High,High,Technology,1,Frontend Developer
79,86,High,High,Low,Technology,2,Backend Developer
90,73,High,Medium,Low,Technology,0,Data Scientist (Junior)
78,92,Medium,Medium,Low,Technology,1,Junior Software Engineer
72,88,Low,Medium,High,Technology,0,UI/UX Designer
94,84,Medium,Medium,Low,Technology,0,Data Analyst
84,86,Medium,High,Low,Technology,0,Junior Software Engineer
82,77,High,Medium,Low,Technology,2,Data Scientist (Junior)
80,85,High,High,Low,Technology,1,Software Engineer
88,81,Low,High,High,Technology,4,UI/UX Designer
94,82,High,High,Low,Technology,2,ML Engineer (Junior)
87,95,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
86,71,High,Medium,Low,Technology,0,Backend Developer
94,84,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
85,79,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
79,85,Low,High,High,Technology,2,UI/UX Designer
93,76,Low,Medium,High,Technology,1,UI/UX Designer
91,81,High,High,Low,Technology,0,Backend Developer
94,89,High,High,Low,Technology,0,Data Scientist (Junior)
88,89,High,Medium,Low,Technology,0,Data Scientist (Junior)
75,79,Medium,Medium,Low,Technology,5,Junior Software Engineer
84,95,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
75,83,High,Medium,Low,Technology,1,Software Engineer
93,78,Low,Medium,High,Technology,1,UI/UX Designer
77,89,Medium,High,Low,Technology,1,Data Analyst
71,82,Medium,High,Low,Technology,1,QA Engineer
92,90,High,Medium,Low,Technology,1,ML Engineer (Junior)
79,85,Medium,Medium,High,Technology,0,Frontend Developer
85,91,High,Medium,Low,Technology,0,Cyber Security Analyst
85,80,High,High,Low,Technology,0,Cyber Security Analyst
83,75,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
75,95,High,High,Low,Technology,4,Cyber Security Analyst
72,77,High,Medium,Low,Technology,2,Software Engineer
89,91,High,High,Low,Technology,1,Data Scientist (Junior)
88,74,High,High,Low,Technology,3,ML Engineer (Junior)
83,82,Medium,Medium,Low,Technology,0,QA Engineer
77,94,High,Medium,Low,Technology,1,Backend Developer
87,87,High,High,Low,Technology,1,Data Scientist (Junior)
80,84,High,Medium,Low,Technology,2,Software Engineer
89,89,High,High,Low,Technology,0,Cloud Engineer (Junior)
89,84,Medium,Medium,Medium,Technology,1,Web Developer
92,91,Medium,Medium,Low,Technology,0,QA Engineer
87,87,Medium,Medium,Medium,Technology,2,Web Developer
93,91,Low,Medium,High,Technology,0,UI/UX Designer
74,94,High,Medium,Low,Technology,1,Cyber Security Analyst
70,75,Medium,High,Low,Technology,3,QA Engineer
78,72,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
89,81,High,Medium,Low,Technology,1,Data Scientist (Junior)
70,86,High,Medium,Low,Technology,0,Backend Developer
79,73,High,Medium,Low,Technology,2,Cloud Engineer (Junior)
83,71,Medium,High,Low,Technology,1,Junior Software Engineer
77,84,High,Medium,Low,Technology,0,Backend Developer
75,83,Low,Medium,High,Technology,2,UI/UX Designer
83,93,Medium,High,Low,Technology,0,QA Engineer
86,80,Low,Medium,High,Technology,3,UI/UX Designer
83,70,Low,Medium,High,Technology,0,UI/UX Designer
71,77,Medium,High,Medium,Technology,0,Web Developer
83,93,High,Medium,Low,Technology,3,Cyber Security Analyst
86,73,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
75,87,High,High,Low,Technology,0,ML Engineer (Junior)
87,93,Medium,High,Low,Technology,1,Junior Software Engineer
72,93,Medium,Medium,Low,Technology,3,Junior Software Engineer
82,84,High,High,Low,Technology,1,Cloud Engineer (Junior)
76,94,High,High,Low,Technology,0,Cyber Security Analyst
70,95,High,High,Low,Technology,0,DevOps Engineer (Junior)
95,86,High,High,Low,Technology,1,ML Engineer (Junior)
80,71,Medium,High,Medium,Technology,1,Web Developer
93,79,Medium,High,High,Technology,2,Frontend Developer
72,95,High,Medium,Low,Technology,0,ML Engineer (Junior)
75,85,High,Medium,Low,Technology,0,Data Scientist (Junior)
74,74,Medium,High,Low,Technology,0,Data Analyst
76,95,Medium,Medium,Low,Technology,0,Data Analyst
72,90,Medium,High,Medium,Technology,3,Web Developer
90,82,High,High,Low,Technology,0,DevOps Engineer (Junior)
84,73,Medium,Medium,Low,Technology,0,QA Engineer
76,79,Medium,High,High,Technology,1,Frontend Developer
73,74,Medium,Medium,Low,Technology,1,Junior Software Engineer
